City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,troitsko-pechorsk,62.7084,56.1964,16.98,62,61,1.8,RU,1689709930
1,gurupi,-11.7292,-49.0686,34.29,20,5,3.47,BR,1689709930
2,thunder bay,48.4001,-89.3168,17.99,77,75,2.57,CA,1689709637
3,edinburgh of the seven seas,-37.0676,-12.3116,15.33,93,86,9.81,SH,1689709700
4,grytviken,-54.2811,-36.5092,-5.87,77,21,4.5,GS,1689709931
5,iskateley,67.6803,53.1512,16.38,91,83,2.32,RU,1689709931
6,port-aux-francais,-49.35,70.2167,3.64,88,100,15.25,TF,1689709931
7,sinabang,2.4803,96.3801,25.87,84,100,2.18,ID,1689709932
8,longyearbyen,78.2186,15.6401,9.91,62,75,4.12,SJ,1689709932
9,puerto natales,-51.7236,-72.4875,0.13,84,98,0.57,CL,1689709933
10,chui,-33.6971,-53.4616,9.41,71,63,3.14,UY,1689709933
11,ribeira grande,38.5167,-28.7,22.22,73,20,2.06,PT,1689709933
12,bilibino,68.0546,166.4372,18.48,66,0,0.7,RU,1689709933
13,stanley,54.868,-1.6985,14.04,94,75,1.03,GB,1689709772
14,saint-philippe,-21.3585,55.7679,20.77,78,36,5.95,RE,1689709934
15,port elizabeth,-33.918,25.5701,16.17,82,40,10.29,ZA,1689709934
16,gadzhiyevo,69.2551,33.3362,15.35,76,100,2.42,RU,1689709934
17,margaret river,-33.95,115.0667,11.05,75,100,11.7,AU,1689709935
18,talnakh,69.4865,88.3972,11.97,92,100,6.88,RU,1689709935
19,west island,-12.1568,96.8225,24.99,83,40,6.69,CC,1689709935
20,mar del plata,-38.0023,-57.5575,9.41,72,20,4.12,AR,1689709742
21,buga,3.9009,-76.2978,31.84,45,14,0.77,CO,1689709937
22,port mathurin,-19.6833,63.4167,23.46,80,100,11.29,MU,1689709937
23,fortuna,40.5982,-124.1573,18.14,79,20,6.17,US,1689709937
24,hamilton,39.1834,-84.5333,30.68,70,40,3.6,US,1689709570
25,bredasdorp,-34.5322,20.0403,10.51,78,33,7.48,ZA,1689709943
26,mejit,10.2753,170.8646,28.02,82,24,6.13,MH,1689709943
27,ko samui,9.5357,99.9357,28.62,73,99,11.16,TH,1689709943
28,lebu,-37.6167,-73.65,12.37,59,100,5.6,CL,1689709702
29,klyuchi,52.2667,79.1667,18.77,52,100,2.64,RU,1689709944
30,newman,37.3138,-121.0208,37.81,8,17,4.28,US,1689709945
31,ilulissat,69.2167,-51.1,9.01,87,40,1.54,GL,1689709945
32,adamstown,-25.066,-130.1015,21.69,77,97,5.51,PN,1689709946
33,ha'il,27.5219,41.6907,36.01,14,0,3.09,SA,1689709946
34,mwinilunga,-11.7358,24.4293,14.82,38,5,1.83,ZM,1689709946
35,kota bharu,6.1333,102.2386,26.97,89,20,0.51,MY,1689709947
36,usogorsk,63.4106,48.6872,17.23,75,29,0.39,RU,1689709947
37,okha,53.5739,142.9478,12.45,88,19,1.68,RU,1689709783
38,belmonte,-15.8631,-38.8828,23.9,73,0,2.67,BR,1689709947
39,lata,40.1629,-8.3327,18.78,80,0,2.0,PT,1689709948
40,arraial do cabo,-22.9661,-42.0278,21.92,88,75,3.6,BR,1689709948
41,booue,-0.0921,11.9385,24.25,82,64,1.1,GA,1689709948
42,georgetown,5.4112,100.3354,27.97,89,20,4.12,MY,1689709944
